Speaker|Party|Speech ID|Gendered Terms
Vizepräsidentin Dagmar Ziegler||83|[Kolleginnen] – Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen ich mache
Margit Stumpp|BÜNDNIS 90/DIE GRÜNEN|84|[Präsidentin] geehrte Frau Präsidentin Sehr geehrte
Vizepräsidentin Dagmar Ziegler||85|
Axel Knoerig|CDU/CSU|86|[Präsidentin] geehrte Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Meine sehr; [Glasfaser] Ausbau von Glasfaser und 5; [Weltmeister] Land das Weltmeister bei digitalen; [Minister] Ich bin Minister Scheuer dankbar; [Glasfaser] Verlegung von Glasfaser durch eine; [Bauernhof] an einen Bauernhof in meinem; [Landwirte] gibt es Landwirte die KWK; [Vermieter] mehr vom Vermieter auf die; [Kolleginnen] aus Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen nun zum
Vizepräsidentin Dagmar Ziegler||87|[Kollegen] Zwischenrede des Kollegen Houben
Axel Knoerig|CDU/CSU|88|
Vizepräsidentin Dagmar Ziegler||89|
Reinhard Houben|FDP|90|[Kollege] Dank Herr Kollege Knoerig dass; [Kollege] – Ihr Kollege Joachim Pfeiffer; [Endkunden] bis zum Endkunden zu beschleunigen
Axel Knoerig|CDU/CSU|91|[Kollege] Werter Herr Kollege Houben Sie; [Wirtschaftsminister] war Ihr Wirtschaftsminister war federführend; [Kollege] Breitbandausbau zuständig Kollege Mattfeldt und; [Minister] bekommen Mit Minister Scheuer Herr; [Ministeriums] Federführung des Ministeriums Ihres damaligen; [Glasfaser] Kupfer zu Glasfaser Sie wollen; [Kollegen] Grünen Liebe Kollegen der Fraktion
Vizepräsidentin Dagmar Ziegler||92|[Schriftführer] Schriftführerinnen und Schriftführer mit der
Bernhard Daldrup|SPD|93|[Präsidentin] Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Mir geht; [Kollege] darüber Mein Kollege Falko Mohrs
Vizepräsidentin Dagmar Ziegler||94|
Vizepräsidentin Dagmar Ziegler||95|
Präsident Dr. Wolfgang Schäuble||96|[Wagner] Abgeordneten Andreas Wagner Jörg Cezanne; [Bundesminister] beginnt unser Bundesminister Andreas Scheuer
Andreas Scheuer||97|[Präsidentin] Frau Präsidentin Verehrte Kolleginnen; [Kolleginnen] Präsidentin Verehrte Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Fahrrad PrivatPkw; [Fahrgäste] und beliebt Fahrgäste können per; [Mobilitätsanbieter] schaffen Etablierte Mobilitätsanbieter insbesondere Taxifahrer; [Taxifahrer] Mobilitätsanbieter insbesondere Taxifahrer hatten von; [Kollegen] – den Kollegen Lange Rainer; [Verkehrsminister] Beispiel dem Verkehrsminister aus BadenWürttemberg; [Verkehrsminister] dem nordrheinwestfälischen Verkehrsminister Hendrik Wüst; [Verkehrsminister] dem schleswigholsteinischen Verkehrsminister Bernd Buchholz; [Taxigewerbe] Um das Taxigewerbe regulatorisch zu; [Taxifahrer] die für Taxifahrer bisher verpflichtende; [Verbraucher] Verbraucherinnen und Verbraucher gewährleisten sollen; [Kolleginnen] sein Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen moderne Mobilität; [Kolleginnen] hoffe liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen dass wir
Vizepräsidentin Dagmar Ziegler||98|[Minister] Dank Herr Minister – Bevor; [Schriftführern] Schriftführerinnen und Schriftführern ermittelte Ergebnis; [Büttner] Bühl Matthias Büttner Petr Bystron; [Glaser] Gauland Albrecht Glaser Franziska Gminder; [Kleinwächter] Keuter Norbert Kleinwächter Enrico Komning; [Schneider] Schlund Jörg Schneider Martin Sichert; [Springer] Spaniel René Springer Beatrix von; [Färber] Erndl Hermann Färber Uwe Feiler; [Feiler] Färber Uwe Feiler Enak Ferlemann; [Hauer] Hardt Matthias Hauer Mark Hauptmann; [Hirte] Heveling Christian Hirte Dr Heribert; [Hirte] Dr Heribert Hirte Alexander Hoffmann; [Holmeier] Hoffmann Karl Holmeier Dr Hendrik; [Kaufmann] Dr Stefan Kaufmann Roderich Kiesewetter; [Meister] Dr Michael Meister Jan Metzler; [Müller] Motschmann Axel Müller Sepp Müller; [Müller] Müller Sepp Müller Carsten Müller; [Müller] Müller Carsten Müller Braunschweig Stefan; [Müller] Braunschweig Stefan Müller Erlangen Christian; [Schreiner] Schön Felix Schreiner Dr KlausPeter; [Weisgerber] Dr Anja Weisgerber Peter Weiß; [Möller] Moll Siemtje Möller Bettina Müller; [Müller] Möller Bettina Müller Detlef Müller; [Müller] Müller Detlef Müller Chemnitz Michelle; [Schäfer] Saathoff Axel Schäfer Bochum Dr; [Schneider] Schmidt Carsten Schneider Erfurt Johannes; [Träger] Töns Carsten Träger Ute Vogt; [Ziegler] Yüksel Dagmar Ziegler Stefan Zierke; [Zimmermann] Dr Jens Zimmermann FDP Grigorios; [Bauer] AschenbergDugnus Nicole Bauer Jens Beeck; [Köhler] Dr Lukas Köhler Wolfgang Kubicki; [Müller] Meyer Alexander Müller Frank MüllerRosentritt; [MüllerRosentritt] Müller Frank MüllerRosentritt Dr Martin; [Müller] Movassat Norbert Müller Potsdam Zaklin; [Pflüger] Pellmann Tobias Pflüger Martina Renner; [Wagner] Vogler Andreas Wagner Harald Weinberg; [Hofreiter] Dr Anton Hofreiter Ottmar von; [Müller] Mihalic Claudia Müller Dr Ingrid
Dirk Spaniel|AfD|99|[Präsidentin] geehrte Frau Präsidentin Sehr geehrte; [Taxigewerbe] dem klassischen Taxigewerbe und Mietwagen; [Taxifahrern] Beschwerden von Taxifahrern vor dass; [Fahrer] Dumpinglöhne an Fahrer gezahlt werden; [Fahrer] übrigens an Fahrer die seit; [Fahrer] Qualifikation der Fahrer um diese; [Fahrzeuge] sollten auch Fahrzeuge der digitalen; [Plattformanbieter] Verbot dieser Plattformanbieter – in; [Mobilitätsanbieter] Field“ für Mobilitätsanbieter zu schaffen; [Taxifahrern] Gesetz den Taxifahrern in diesem; [Fahrer] und der Fahrer kein Geld
Vizepräsidentin Dagmar Ziegler||100|[Müller] an Detlef Müller von der
Detlef Müller|SPD|101|[Präsidentin] geehrte Frau Präsidentin Meine Damen; [Taxigewerbe] Protesten im Taxigewerbe geführt hat; [Verkehrsminister] und Opposition Verkehrsminister einzelner Bundesländer; [Mitarbeitern] Ausbeutung von Mitarbeitern basieren wird; [Fahrzeuge] noch mehr Fahrzeuge in unseren; [Minister] – der Minister hat es; [Taxifahrer] Ortskundeprüfung für Taxifahrer durch den; [Taxifahrer] Anforderungen an Taxifahrer auch im
